Energy(eV)	cross section (m-2)					
	(1) E + AR > E + AR	(2)  E + AR > AR* + E	(3) E + AR > AR* + E	(4) E + AR > AR^ + E + E	(5) E + AR* > AR^ + E + E	(6)  E + AR* > AR + E
3.400000E-04	9.813000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.451510E-21
3.500000E-04	9.807500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.422620E-21
3.600000E-04	9.802000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.394150E-21
3.700000E-04	9.796500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.366490E-21
3.800000E-04	9.791000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.338840E-21
3.900000E-04	9.785500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.311990E-21
4.000000E-04	9.780000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.285120E-21
4.100000E-04	9.774500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.259030E-21
4.200000E-04	9.769000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.232910E-21
4.300000E-04	9.763500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.207550E-21
4.400000E-04	9.758000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.182150E-21
4.500000E-04	9.752500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.157490E-21
4.600000E-04	9.747000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.132780E-21
4.700000E-04	9.741500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.108790E-21
4.800000E-04	9.736000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.084750E-21
4.900000E-04	9.730500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.061400E-21
5.000000E-04	9.725000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.038000E-21
5.100000E-04	9.719500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.015270E-21
5.200000E-04	9.714000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.992470E-21
5.300000E-04	9.708500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.970340E-21
5.400000E-04	9.703000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.948130E-21
5.500000E-04	9.697500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.926570E-21
5.600000E-04	9.692000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.904930E-21
5.700000E-04	9.686500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.883920E-21
5.800000E-04	9.681000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.862820E-21
5.900000E-04	9.675500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.842340E-21
6.000000E-04	9.670000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.821760E-21
6.100000E-04	9.664510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.801790E-21
6.200000E-04	9.659000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.781720E-21
6.300000E-04	9.653510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.762230E-21
6.400000E-04	9.648000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.742650E-21
6.500000E-04	9.642500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.723640E-21
6.600000E-04	9.637010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.704530E-21
6.700000E-04	9.631500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.685970E-21
6.800000E-04	9.626010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.667310E-21
6.900000E-04	9.620500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.649190E-21
7.000000E-04	9.615010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.630970E-21
7.100000E-04	9.609510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.612960E-21
7.200000E-04	9.604010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.595470E-21
7.300000E-04	9.598510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.577870E-21
7.400000E-04	9.593010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.560790E-21
7.500000E-04	9.587510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.543590E-21
7.600000E-04	9.582010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.526900E-21
7.700000E-04	9.576510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.510080E-21
7.800000E-04	9.571010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.493770E-21
7.900000E-04	9.565510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.477330E-21
8.000000E-04	9.560010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.461370E-21
8.100000E-04	9.554510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.445290E-21
